S.No,Time,Name,Shelves,Author,Avg Rating,No of Ratings,Score,Voters,,
22,Thu 26-08-2021 10:35:27 AM,"Divergent (Divergent, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Veronica Roth (Goodreads Author),4.17,3201386,828604,8704,,
23,Thu 26-08-2021 10:35:27 AM,The Perks of Being a Wallflower,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Stephen Chbosky,4.21,1381757,822130,8632,,
24,Thu 26-08-2021 10:35:27 AM,The Great Gatsby,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",F. Scott Fitzgerald,3.93,4129361,815352,8764,,
25,Thu 26-08-2021 10:35:27 AM,Lord of the Flies,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",William Golding,3.69,2438948,802146,8532,,
26,Thu 26-08-2021 10:35:27 AM,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.K. Rowling,4.47,7828426,801641,8490,,
27,Thu 26-08-2021 10:35:27 AM,The Alchemist,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Paulo Coelho (Goodreads Author),3.89,2343148,801441,8378,,
28,Thu 26-08-2021 10:35:27 AM,Crime and Punishment,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Fyodor Dostoyevsky,4.23,696411,795359,8311,,
29,Thu 26-08-2021 10:35:27 AM,Romeo and Juliet,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",William Shakespeare,3.75,2197719,791523,8492,,
30,Thu 26-08-2021 10:35:27 AM,The Little Prince,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Antoine de Saint-Exupéry,4.31,1564682,762624,8132,,
31,Thu 26-08-2021 10:35:27 AM,"City of Bones (The Mortal Instruments, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Cassandra Clare (Goodreads Author),4.09,1749732,751079,7904,,
32,Thu 26-08-2021 10:35:27 AM,The Help,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Kathryn Stockett (Goodreads Author),4.46,2329951,737885,7898,,
33,Thu 26-08-2021 10:35:27 AM,"Anne of Green Gables (Anne of Green Gables, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",L.M. Montgomery,4.26,805450,736059,7764,,
34,Thu 26-08-2021 10:35:27 AM,"Ender's Game (Ender's Saga, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Orson Scott Card,4.3,1210581,734349,7658,,
35,Thu 26-08-2021 10:35:27 AM,Charlotte's Web,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",E.B. White,4.18,1538600,705473,7621,,
36,Thu 26-08-2021 10:35:27 AM,Of Mice and Men,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",John Steinbeck,3.88,2092230,693186,7485,,
37,Thu 26-08-2021 10:35:27 AM,"The Lightning Thief (Percy Jackson and the Olympians, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Rick Riordan (Goodreads Author),4.27,2236790,690190,7331,,
38,Thu 26-08-2021 10:35:27 AM,The Time Traveler's Wife,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Audrey Niffenegger (Goodreads Author),3.98,1647838,672704,7039,,
39,Thu 26-08-2021 10:35:27 AM,Dracula,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Bram Stoker,NA,NA,668386,7217,,
40,Thu 26-08-2021 10:35:27 AM,Brave New World,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Aldous Huxley,3.99,1558343,657292,7057,,
41,Thu 26-08-2021 10:35:27 AM,One Hundred Years of Solitude,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Gabriel García Márquez,4.09,812595,644453,6784,,
42,Thu 26-08-2021 10:35:27 AM,The Catcher in the Rye,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.D. Salinger,3.81,2943886,636957,6884,,
43,Thu 26-08-2021 10:35:27 AM,The Princess Bride,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",William Goldman,4.25,825033,621721,6625,,
44,Thu 26-08-2021 10:35:27 AM,A Thousand Splendid Suns,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Khaled Hosseini (Goodreads Author),4.39,1249768,611237,6482,,
